0,5
1,7
2,7
3,6
4,9
5,7
6,11
7,9
8,4
9,5
10,11
11,13
12,10
13,7
14,4
15,10
16,6
17,4
18,7
19,6
20,8
21,2
22,6
23,9
24,5
25,10
26,8
27,8
28,7
29,12
30,9
31,9
32,6
33,11
34,7
35,10
36,9
37,5
38,8
39,10
40,8
41,9
42,12
43,10
44,4
45,6
46,9
47,5
48,4
49,4
50,9
51,11
52,7
53,5
54,9
55,6
56,5
57,8
58,10
59,10
60,13
61,7
62,8
63,7
64,9
65,8
66,12
67,11
68,3
69,7
70,7
71,9
72,5
73,7
74,12
75,6
76,8
77,9
78,9
79,10
80,7
81,4
82,5
83,10
84,10
85,5
86,8
87,7
88,12
89,6
90,8
91,5
92,6
93,6
94,6
95,10
96,13
97,5
98,6
99,4
100,3
101,8
102,5
103,10
104,9
105,7
106,4
107,7
108,5
109,8
110,12
111,13
112,6
113,2
114,7
115,4
116,9
117,6
118,8
119,5
120,3
121,9
122,7
123,6
124,7
125,3
126,10
127,8
128,11
129,6
130,10
131,7
132,6
133,3
134,11
135,5
136,7
137,2
138,13
139,6
140,7
141,10
142,14
143,4
144,11
145,7
146,3
147,7
148,6
149,5
150,10
151,10
152,11
153,3
154,4
155,5
156,7
157,6
158,5
159,6
160,11
161,3
162,6
163,6
164,5
165,6
166,3
167,4
168,9
169,3
170,5
171,9
172,6
173,10
174,6
175,8
176,7
177,7
178,7
179,6
180,6
181,5
182,5
183,9
184,6
185,6
186,6
187,5
188,5
189,11
190,6
191,4
192,7
193,4
194,4
195,7
196,10
197,8
198,5
199,5
200,6
201,7
202,8
203,11
204,11
205,8
206,8
207,13
208,6
209,8
210,10
211,7
212,5
213,7
214,5
215,7
216,6
217,9
218,8
219,4
220,3
221,11
222,3
223,10
224,6
225,3
226,1
227,7
228,7
229,10
230,9
231,9
232,7
233,7
234,8
235,5
236,10
237,9
238,8
239,4
240,8
241,4
242,8
243,6
244,12
245,8
246,7
247,10
248,3
249,5
250,8
251,3
252,9
253,8
254,6
255,12
256,5
257,9
258,7
259,6
260,12
261,5
262,8
263,10
264,4
265,7
266,7
267,9
268,1
269,9
270,10
271,4
272,8
273,4
274,8
275,8
276,6
277,11
278,5
279,5
280,12
281,6
282,6
283,5
284,8
285,9
286,7
287,10
288,4
289,5
290,7
291,4
292,7
293,10
294,5
295,12
296,9
297,4
298,8
299,6
300,6
301,4
302,6
303,4
304,6
305,3
306,6
307,11
308,9
309,12
310,8
311,5
312,8
313,5
314,7
315,3
316,7
317,5
318,11
319,8
320,5
321,11
322,4
323,9
324,7
325,10
326,8
327,6
328,5
329,4
330,8
331,7
332,8
333,6
334,5
335,9
336,7
337,8
338,7
339,3
340,9
341,7
342,7
343,10
344,6
345,9
346,7
347,3
348,15
349,10
350,4
351,3
352,9
353,4
